"","2","9","10","11","17","8","12","16","4","13","5","14","7","6","1","15","3"
"Cropland",0.175437,0.251388,0.306358,0.005451,0.025753,0.076794,0.017163,0.018449,0.015312,0.001433,0.014769,0.011336,0.07491,0.005443,4e-06,1e-06,0
"Pasture",0.14583,0.287012,0.328723,0.003733,0.021652,0.063394,0.011462,0.008575,0.015568,0.001666,0.012764,0.009774,0.085336,0.0045,1.2e-05,1e-06,0
"TimberForest",0.153067,0.277991,0.313197,0.005319,0.021334,0.087754,0.016102,0.020864,0.016864,0.001283,0.01367,0.010341,0.055718,0.006478,1.5e-05,1e-06,0
"UnmanagedForest",0.153479,0.205076,0.316723,0.004545,0.014089,0.077353,0.016204,0.016872,0.021648,0.001971,0.020817,0.007053,0.134093,0.010022,5.6e-05,0,0
"OtherNatural",0.13785,0.148449,0.357907,0.003625,0.010134,0.054362,0.016004,0.024404,0.019048,0.002096,0.010204,0.014994,0.189939,0.01086,0.000125,0,0
"Barren",0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05,0,0
"Urban",0.097982,0.363388,0.284223,0.003275,0.017549,0.092964,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06,4e-06,0
