"","2","9","10","11","17","8","12","16","4","13","5","14","7","6","1","15","3"
"Cropland",0.175453,0.251379,0.306378,0.005455,0.025751,0.076784,0.01716,0.018445,0.015314,0.001433,0.014766,0.011334,0.074902,0.005442,4e-06,1e-06,0
"Pasture",0.145824,0.287023,0.328716,0.003733,0.021654,0.063398,0.011461,0.008575,0.015569,0.001666,0.012763,0.009773,0.085332,0.0045,1.2e-05,1e-06,0
"TimberForest",0.153067,0.277991,0.313197,0.005319,0.021334,0.087754,0.016102,0.020864,0.016864,0.001283,0.01367,0.010341,0.055718,0.006478,1.5e-05,1e-06,0
"UnmanagedForest",0.153478,0.205075,0.316723,0.004545,0.014088,0.077354,0.016205,0.016872,0.021647,0.001971,0.020817,0.007053,0.134095,0.010022,5.6e-05,0,0
"OtherNatural",0.137844,0.148441,0.357905,0.003623,0.010133,0.054362,0.016005,0.024406,0.019048,0.002096,0.010205,0.014995,0.189952,0.010861,0.000125,0,0
"Barren",0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05,0,0
"Urban",0.097982,0.363388,0.284223,0.003275,0.017549,0.092964,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06,4e-06,0
