"","2","9","10","11","17","8","12","16","4","13","5","14","7","6","1","15","3"
"Cropland",0.175378,0.251302,0.306553,0.005447,0.025745,0.076766,0.017158,0.018443,0.015312,0.001432,0.014763,0.011332,0.074922,0.005441,4e-06,1e-06,0
"Pasture",0.145806,0.287009,0.328752,0.003733,0.021652,0.063405,0.01146,0.008574,0.015571,0.001666,0.012763,0.009772,0.085325,0.0045,1.2e-05,1e-06,0
"TimberForest",0.153067,0.277991,0.313197,0.005319,0.021334,0.087754,0.016102,0.020864,0.016864,0.001283,0.01367,0.010341,0.055718,0.006478,1.5e-05,1e-06,0
"UnmanagedForest",0.153485,0.205079,0.31671,0.004545,0.014089,0.077355,0.016205,0.016872,0.021646,0.001971,0.020818,0.007053,0.134094,0.010023,5.6e-05,0,0
"OtherNatural",0.13787,0.148463,0.357842,0.003626,0.010134,0.054364,0.016006,0.024407,0.019049,0.002097,0.010206,0.014996,0.189955,0.010861,0.000125,0,0
"Barren",0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05,0,0
"Urban",0.097982,0.363388,0.284223,0.003275,0.017549,0.092964,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06,4e-06,0
