Sim,s2,s4,s6,s8,s10,global
s2,1,0.999999999308137,0.999999994821465,0.999999973478378,0.999999997832377,0.99999999807536
s4,0.999999999308137,1,0.999999993456442,0.999999976462595,0.999999995373634,0.999999997907462
s6,0.999999994821465,0.999999993456442,1,0.999999982558028,0.999999993538693,0.999999997862244
s8,0.999999973478378,0.999999976462595,0.999999982558028,1,0.999999968487294,0.999999985184671
s10,0.999999997832377,0.999999995373634,0.999999993538693,0.999999968487294,1,0.999999996033671
global,0.99999999807536,0.999999997907462,0.999999997862244,0.999999985184671,0.999999996033671,1
