"","2","9","10","11","17","8","12","16","4","13","5","14","7","6","1","15","3"
"Cropland",0.175425,0.251395,0.306342,0.005449,0.025754,0.0768,0.017165,0.018452,0.015312,0.001433,0.014771,0.011337,0.074915,0.005444,4e-06,1e-06,0
"Pasture",0.145841,0.286964,0.328732,0.003734,0.021647,0.063388,0.011465,0.008578,0.015567,0.001666,0.012767,0.009777,0.085363,0.004501,1.2e-05,1e-06,0
"TimberForest",0.153067,0.277991,0.313197,0.005319,0.021334,0.087754,0.016102,0.020864,0.016864,0.001283,0.01367,0.010341,0.055718,0.006478,1.5e-05,1e-06,0
"UnmanagedForest",0.153478,0.205086,0.316725,0.004545,0.01409,0.077351,0.016204,0.016871,0.021648,0.001971,0.020816,0.007053,0.134087,0.010022,5.6e-05,0,0
"OtherNatural",0.137854,0.148469,0.357904,0.003626,0.010135,0.054364,0.016003,0.024401,0.019048,0.002096,0.010204,0.014993,0.18992,0.010859,0.000125,0,0
"Barren",0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05,0,0
"Urban",0.097982,0.363388,0.284223,0.003275,0.017549,0.092964,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06,4e-06,0
