"","2","9","10","11","17","8","12","16","4","13","5","14","7","6","1","15","3"
"Cropland",0.175358,0.251408,0.306409,0.005453,0.025746,0.076793,0.017163,0.018448,0.015321,0.001433,0.014769,0.011335,0.074917,0.005443,4e-06,1e-06,0
"Pasture",0.14582,0.287004,0.328737,0.003733,0.02165,0.063392,0.011462,0.008576,0.015568,0.001666,0.012764,0.009774,0.085341,0.0045,1.2e-05,1e-06,0
"TimberForest",0.153067,0.277991,0.313197,0.005319,0.021334,0.087754,0.016102,0.020864,0.016864,0.001283,0.01367,0.010341,0.055718,0.006478,1.5e-05,1e-06,0
"UnmanagedForest",0.153483,0.205079,0.316717,0.004545,0.014089,0.077353,0.016204,0.016872,0.021647,0.001971,0.020817,0.007053,0.134092,0.010022,5.6e-05,0,0
"OtherNatural",0.137879,0.148441,0.357889,0.003624,0.010136,0.054362,0.016004,0.024404,0.019045,0.002096,0.010204,0.014994,0.189936,0.01086,0.000125,0,0
"Barren",0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05,0,0
"Urban",0.097982,0.363388,0.284223,0.003275,0.017549,0.092964,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06,4e-06,0
