PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC7,LC6,LC1,LC15
Cropland,0.1799,0.258758,0.314111,0.005743,0.026403,0.078872,0.017608,0.018918,0.015849,0.001471,0.076781,0.005581,4e-06,1e-06
Pasture,0.14945,0.294703,0.334873,0.003823,0.022557,0.064741,0.011733,0.008764,0.015885,0.001704,0.08714,0.004616,1.2e-05,1e-06
TimberForest,0.156798,0.284982,0.320836,0.00545,0.021854,0.089894,0.016494,0.021372,0.017277,0.001315,0.057076,0.006636,1.5e-05,1e-06
UnmanagedForest,0.157906,0.210826,0.325863,0.004676,0.014494,0.079578,0.016671,0.017358,0.022272,0.002027,0.137961,0.010311,5.8e-05,0
OtherNatural,0.14141,0.151958,0.367718,0.003662,0.0103,0.055799,0.016412,0.025021,0.0195,0.00215,0.194811,0.011131,0.000128,0
Barren,0.090037,0.242353,0.352283,0.002452,0.010053,0.10475,0.014647,0.031187,0.016032,0.002822,0.128543,0.004828,1.4e-05,0
Urban,0.100571,0.37299,0.291734,0.003362,0.018013,0.095421,0.011525,0.021765,0.031972,0.001041,0.048573,0.003023,6e-06,4e-06
