PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC7,LC6,LC1,LC15
Cropland,0.180112,0.258112,0.31462,0.005597,0.02644,0.078845,0.017621,0.018942,0.015725,0.001471,0.076921,0.005588,4e-06,1e-06
Pasture,0.149186,0.29362,0.336312,0.003819,0.02215,0.064857,0.011726,0.008773,0.015927,0.001704,0.087307,0.004604,1.2e-05,1e-06
TimberForest,0.156833,0.28483,0.320902,0.00545,0.021859,0.089913,0.016498,0.021377,0.017279,0.001315,0.057089,0.006638,1.5e-05,1e-06
UnmanagedForest,0.15788,0.210958,0.3258,0.004675,0.014493,0.079571,0.016669,0.017355,0.022268,0.002027,0.137937,0.01031,5.8e-05,0
OtherNatural,0.141423,0.15229,0.367141,0.003718,0.010396,0.055768,0.016418,0.025035,0.01954,0.002151,0.19485,0.011141,0.000128,0
Barren,0.090037,0.242353,0.352283,0.002452,0.010053,0.10475,0.014647,0.031187,0.016032,0.002822,0.128543,0.004828,1.4e-05,0
Urban,0.100571,0.37299,0.291734,0.003362,0.018013,0.095421,0.011525,0.021765,0.031972,0.001041,0.048573,0.003023,6e-06,4e-06
