PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC7,LC6,LC1,LC15
Cropland,0.179985,0.258969,0.313977,0.005743,0.026411,0.07891,0.017614,0.018924,0.01586,0.001472,0.076548,0.005583,4e-06,1e-06
Pasture,0.151488,0.298209,0.332617,0.003841,0.022554,0.065182,0.011767,0.008254,0.015933,0.001684,0.083812,0.004648,1.1e-05,1e-06
TimberForest,0.156808,0.284943,0.320853,0.005449,0.021856,0.089896,0.016495,0.021374,0.017278,0.001315,0.05708,0.006637,1.5e-05,1e-06
UnmanagedForest,0.157895,0.210878,0.325843,0.004676,0.014494,0.079576,0.016669,0.017356,0.022271,0.002027,0.137947,0.01031,5.8e-05,0
OtherNatural,0.140815,0.151519,0.368288,0.003658,0.010359,0.0557,0.016377,0.025092,0.019462,0.002154,0.195359,0.011088,0.000127,0
Barren,0.090037,0.242353,0.352283,0.002452,0.010053,0.10475,0.014647,0.031187,0.016032,0.002822,0.128543,0.004828,1.4e-05,0
Urban,0.100571,0.37299,0.291734,0.003362,0.018013,0.095421,0.011525,0.021765,0.031972,0.001041,0.048573,0.003023,6e-06,4e-06
