"","2","9","10","11","17","8","12","16","4","13","5","14","7","6","1","15","3"
"Cropland",0.175247,0.252196,0.305766,0.005576,0.025692,0.076823,0.01714,0.018416,0.015445,0.001434,0.01477,0.011323,0.074734,0.005433,4e-06,1e-06,0
"Pasture",0.145823,0.286949,0.328672,0.003742,0.021873,0.063348,0.011454,0.008588,0.015568,0.001663,0.012771,0.009767,0.085273,0.004497,1.2e-05,1e-06,0
"TimberForest",0.153034,0.278141,0.313134,0.005319,0.021329,0.087736,0.016098,0.020859,0.016862,0.001283,0.013667,0.010339,0.055705,0.006477,1.5e-05,1e-06,0
"UnmanagedForest",0.153493,0.204978,0.316786,0.004545,0.014093,0.077356,0.016205,0.016872,0.021652,0.00197,0.020817,0.007053,0.134101,0.010022,5.6e-05,0,0
"OtherNatural",0.137897,0.148071,0.358164,0.003574,0.010072,0.054349,0.016016,0.024422,0.018999,0.002098,0.010199,0.015006,0.190138,0.010871,0.000125,0,0
"Barren",0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05,0,0
"Urban",0.097982,0.363388,0.284223,0.003275,0.017549,0.092964,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06,4e-06,0
