Sim,s2,s4,s6,s8,s10,global
s2,1,0.999999998211395,0.999999999496727,0.999999997736867,0.99999998689122,0.999999998851756
s4,0.999999998211395,1,0.999999997443411,0.999999998790752,0.999999983155584,0.99999999790475
s6,0.999999999496727,0.999999997443411,1,0.999999998294684,0.999999991007943,0.999999999633056
s8,0.999999997736867,0.999999998790752,0.999999998294684,1,0.999999989358921,0.999999999220751
s10,0.99999998689122,0.999999983155584,0.999999991007943,0.999999989358921,1,0.999999992467186
global,0.999999998851756,0.99999999790475,0.999999999633056,0.999999999220751,0.999999992467186,1
