"","2","9","10","11","17","8","12","16","4","13","5","14","7","6","1","15","3"
"Cropland",0.175238,0.25227,0.305716,0.005586,0.025692,0.076822,0.017136,0.01841,0.015457,0.001434,0.014768,0.01132,0.074713,0.005431,4e-06,1e-06,0
"Pasture",0.145799,0.286999,0.328673,0.003741,0.021878,0.063354,0.011452,0.008586,0.015569,0.001664,0.012768,0.009764,0.085246,0.004496,1.2e-05,1e-06,0
"TimberForest",0.153043,0.278105,0.313148,0.005319,0.021331,0.087739,0.016099,0.020861,0.016863,0.001283,0.013668,0.01034,0.055709,0.006477,1.5e-05,1e-06,0
"UnmanagedForest",0.153486,0.205004,0.316771,0.004545,0.014091,0.077356,0.016205,0.016872,0.02165,0.001971,0.020817,0.007053,0.1341,0.010022,5.6e-05,0,0
"OtherNatural",0.137905,0.147999,0.358197,0.00357,0.010069,0.054343,0.016018,0.024427,0.018996,0.002097,0.010199,0.015009,0.190173,0.010873,0.000125,0,0
"Barren",0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05,0,0
"Urban",0.097982,0.363388,0.284223,0.003275,0.017549,0.092964,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06,4e-06,0
