PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC5,LC14,LC6,LC1
Cropland,0.189366,0.272372,0.330637,0.006045,0.027792,0.083022,0.018535,0.019913,0.016683,0.001548,0.015971,0.012237,0.005875,4e-06
Pasture,0.159664,0.314844,0.357759,0.004084,0.024098,0.069166,0.012535,0.009363,0.01697,0.00182,0.014008,0.010745,0.004931,1.3e-05
TimberForest,0.162062,0.294549,0.331606,0.005633,0.022588,0.092912,0.017048,0.02209,0.017857,0.001359,0.014474,0.010949,0.006859,1.6e-05
UnmanagedForest,0.177281,0.236694,0.365846,0.005249,0.016272,0.089342,0.018717,0.019487,0.025005,0.002276,0.024044,0.008146,0.011576,6.5e-05
OtherNatural,0.170168,0.182862,0.4425,0.004407,0.012394,0.067147,0.019749,0.030109,0.023466,0.002588,0.012576,0.018485,0.013395,0.000154
Barren,0.101446,0.273063,0.396923,0.002763,0.011327,0.118024,0.016503,0.035139,0.018064,0.00318,0.017506,0.000608,0.005439,1.5e-05
Urban,0.102849,0.38144,0.298343,0.003438,0.018421,0.097582,0.011787,0.022258,0.032697,0.001064,0.024224,0.002798,0.003092,6e-06
