PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC5,LC14,LC7,LC6
Cropland,0.175411,0.251376,0.30641,0.005451,0.02575,0.076788,0.017162,0.018447,0.015314,0.001433,0.014768,0.011335,0.074914,0.005443
Pasture,0.145826,0.287006,0.328736,0.003733,0.021651,0.063396,0.011462,0.008576,0.015569,0.001666,0.012764,0.009774,0.08534,0.0045
TimberForest,0.15307,0.277996,0.313202,0.005319,0.021335,0.087755,0.016102,0.020864,0.016865,0.001283,0.01367,0.010341,0.055719,0.006479
UnmanagedForest,0.153489,0.20509,0.316737,0.004545,0.01409,0.077357,0.016205,0.016873,0.021648,0.001971,0.020818,0.007054,0.1341,0.010023
OtherNatural,0.137876,0.148471,0.357934,0.003625,0.010136,0.05437,0.016007,0.024407,0.01905,0.002097,0.010206,0.014996,0.189964,0.010862
Barren,0.088613,0.238521,0.346713,0.002413,0.009894,0.103094,0.014416,0.030694,0.015779,0.002777,0.015292,0.000531,0.12651,0.004751
Urban,0.097983,0.363391,0.284226,0.003275,0.01755,0.092965,0.011229,0.021205,0.03115,0.001014,0.023078,0.002665,0.047323,0.002945
