PLUM_Class,LC9,LC10,LC11,LC17,LC12,LC16
Cropland,0.403606,0.489338,0.00895,0.041162,0.027452,0.029493
Pasture,0.440328,0.491134,0.005672,0.033303,0.017376,0.012187
TimberForest,0.424673,0.478193,0.008122,0.032573,0.024584,0.031855
UnmanagedForest,0.357471,0.552355,0.007926,0.02457,0.028257,0.029421
OtherNatural,0.263377,0.640174,0.006358,0.018006,0.028468,0.043616
Barren,0.371152,0.539504,0.003755,0.015396,0.022431,0.047762
Urban,0.518481,0.40553,0.004673,0.025039,0.016021,0.030255
