PLUM_Class,LC9,LC10,LC11,LC17,LC12,LC16
Cropland,0.402461,0.490573,0.008728,0.041227,0.027476,0.029535
Pasture,0.434092,0.497208,0.005647,0.032747,0.017337,0.01297
TimberForest,0.424539,0.478304,0.008124,0.032581,0.02459,0.031863
UnmanagedForest,0.357586,0.552249,0.007925,0.024566,0.028255,0.029418
OtherNatural,0.264853,0.638507,0.006467,0.018081,0.028553,0.04354
Barren,0.371152,0.539504,0.003755,0.015396,0.022431,0.047762
Urban,0.518481,0.40553,0.004673,0.025039,0.016021,0.030255
