PLUM_Class,LC9,LC10,LC11,LC17,LC12,LC16
Cropland,0.403338,0.48962,0.008952,0.041156,0.027447,0.029488
Pasture,0.435659,0.495043,0.005652,0.033345,0.017345,0.012956
TimberForest,0.42472,0.478154,0.008122,0.03257,0.024582,0.031852
UnmanagedForest,0.3574,0.552416,0.007926,0.02457,0.028262,0.029425
OtherNatural,0.264243,0.639431,0.006368,0.01791,0.028539,0.043509
Barren,0.371152,0.539504,0.003755,0.015396,0.022431,0.047762
Urban,0.518481,0.40553,0.004673,0.025039,0.016021,0.030255
