PLUM_Class,LC9,LC10,LC11,LC17,LC12,LC16
Cropland,0.401265,0.491863,0.008464,0.041296,0.027519,0.029593
Pasture,0.433962,0.49734,0.005648,0.032728,0.017336,0.012985
TimberForest,0.42472,0.478154,0.008122,0.03257,0.024582,0.031852
UnmanagedForest,0.357453,0.552354,0.007927,0.024576,0.028263,0.029427
OtherNatural,0.265523,0.637797,0.006578,0.018073,0.028534,0.043496
Barren,0.371152,0.539504,0.003755,0.015396,0.022431,0.047762
Urban,0.518481,0.40553,0.004673,0.025039,0.016021,0.030255
