"","2","9","10","11","17","8","12","16","4","13","5","14","7","6","1","15","3"
"Cropland",0.175452,0.250586,0.307163,0.005285,0.025789,0.076758,0.017185,0.018481,0.01518,0.001433,0.014766,0.01136,0.075104,0.005453,4e-06,1e-06,0
"Pasture",0.145851,0.286911,0.328813,0.003734,0.021638,0.063404,0.011462,0.008585,0.015571,0.001665,0.012762,0.009772,0.085319,0.0045,1.2e-05,1e-06,0
"TimberForest",0.153034,0.278141,0.313134,0.005319,0.021329,0.087736,0.016098,0.020859,0.016862,0.001283,0.013667,0.010339,0.055705,0.006477,1.5e-05,1e-06,0
"UnmanagedForest",0.153515,0.204978,0.316741,0.004545,0.014093,0.077365,0.016207,0.016875,0.021647,0.001971,0.02082,0.007054,0.134109,0.010024,5.6e-05,0,0
"OtherNatural",0.137846,0.148855,0.357555,0.003688,0.010132,0.054383,0.015996,0.024385,0.019096,0.002096,0.010208,0.014983,0.189801,0.010853,0.000125,0,0
"Barren",0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05,0,0
"Urban",0.097982,0.363388,0.284223,0.003275,0.017549,0.092964,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06,4e-06,0
