"","2","9","10","11","17","8","12","16","4","13","5","14","7","6","1","15","3"
"Cropland",0.17547,0.250496,0.307196,0.005277,0.025797,0.076767,0.01719,0.018487,0.01517,0.001433,0.014769,0.011364,0.075124,0.005454,4e-06,1e-06,0
"Pasture",0.145866,0.286868,0.328812,0.003735,0.021633,0.063398,0.011464,0.008595,0.01557,0.001665,0.012764,0.009774,0.085341,0.004501,1.2e-05,1e-06,0
"TimberForest",0.153034,0.278141,0.313134,0.005319,0.021329,0.087736,0.016098,0.020859,0.016862,0.001283,0.013667,0.010339,0.055705,0.006477,1.5e-05,1e-06,0
"UnmanagedForest",0.153513,0.204986,0.316744,0.004545,0.014094,0.077363,0.016206,0.016874,0.021648,0.001971,0.020819,0.007054,0.134103,0.010024,5.6e-05,0,0
"OtherNatural",0.13784,0.148917,0.357534,0.003691,0.010132,0.054386,0.015994,0.024378,0.019099,0.002096,0.010207,0.01498,0.18977,0.010851,0.000124,0,0
"Barren",0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05,0,0
"Urban",0.097982,0.363388,0.284223,0.003275,0.017549,0.092964,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06,4e-06,0
