Sim,s2,s4,s6,s8,s10,global
s2,1,0.999999997935706,0.999999986834912,0.999999993985685,0.999999992918394,0.999999999030216
s4,0.999999997935706,1,0.999999989669248,0.999999997690919,0.999999988334569,0.999999999421393
s6,0.999999986834912,0.999999989669248,1,0.999999982172421,0.999999967077075,0.999999989846069
s8,0.999999993985685,0.999999997690919,0.999999982172421,1,0.999999985998822,0.999999996664883
s10,0.999999992918394,0.999999988334569,0.999999967077075,0.999999985998822,1,0.999999991560989
global,0.999999999030216,0.999999999421393,0.999999989846069,0.999999996664883,0.999999991560989,1
