PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC13,LC1
Cropland,0.199538,0.287103,0.348087,0.006367,0.02928,0.087483,0.019527,0.020979,0.001631,4e-06
Pasture,0.169146,0.332969,0.371387,0.004289,0.025183,0.07278,0.013139,0.009216,0.00188,1.2e-05
TimberForest,0.170629,0.310056,0.349132,0.00593,0.023782,0.097819,0.017949,0.023258,0.00143,1.7e-05
UnmanagedForest,0.190356,0.254232,0.392831,0.005637,0.017474,0.095936,0.020097,0.020924,0.002444,7e-05
OtherNatural,0.181911,0.195738,0.475769,0.004725,0.013382,0.071956,0.021157,0.032415,0.002783,0.000165
Barren,0.105851,0.28492,0.414159,0.002883,0.011819,0.123149,0.01722,0.036665,0.003318,1.6e-05
Urban,0.109742,0.407004,0.318338,0.003669,0.019656,0.104122,0.012577,0.02375,0.001136,7e-06
