PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC13,LC1
Cropland,0.199493,0.286938,0.34832,0.006368,0.029279,0.087462,0.019526,0.020978,0.001631,4e-06
Pasture,0.167477,0.330251,0.375267,0.004284,0.025277,0.072551,0.013149,0.009821,0.001909,1.3e-05
TimberForest,0.170616,0.310097,0.34911,0.00593,0.02378,0.097816,0.017948,0.023256,0.001431,1.7e-05
UnmanagedForest,0.190373,0.254174,0.392864,0.005637,0.017474,0.09594,0.020099,0.020926,0.002444,7e-05
OtherNatural,0.182569,0.196187,0.474746,0.004728,0.013297,0.07204,0.021189,0.032303,0.002776,0.000165
Barren,0.105851,0.28492,0.414159,0.002883,0.011819,0.123149,0.01722,0.036665,0.003318,1.6e-05
Urban,0.109742,0.407004,0.318338,0.003669,0.019656,0.104122,0.012577,0.02375,0.001136,7e-06
