PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC13,LC1
Cropland,0.199801,0.285361,0.34979,0.006019,0.029368,0.087411,0.01957,0.021045,0.001632,4e-06
Pasture,0.167246,0.328998,0.377046,0.004282,0.024812,0.072705,0.013143,0.009845,0.001909,1.3e-05
TimberForest,0.170616,0.310097,0.34911,0.00593,0.02378,0.097816,0.017948,0.023256,0.001431,1.7e-05
UnmanagedForest,0.190383,0.254206,0.392811,0.005637,0.017477,0.095945,0.020099,0.020928,0.002444,7e-05
OtherNatural,0.182563,0.197143,0.473546,0.004884,0.013419,0.072025,0.021185,0.032295,0.002776,0.000165
Barren,0.105851,0.28492,0.414159,0.002883,0.011819,0.123149,0.01722,0.036665,0.003318,1.6e-05
Urban,0.109742,0.407004,0.318338,0.003669,0.019656,0.104122,0.012577,0.02375,0.001136,7e-06
