PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC5,LC14,LC7,LC6
Cropland,0.175239,0.252272,0.305717,0.005586,0.025686,0.076824,0.017137,0.018411,0.015457,0.001434,0.014769,0.01132,0.074717,0.005432
Pasture,0.145807,0.28699,0.328679,0.003741,0.021877,0.063353,0.011453,0.008586,0.015569,0.001664,0.012768,0.009764,0.085252,0.004496
TimberForest,0.15304,0.278131,0.313145,0.005319,0.02133,0.087739,0.016099,0.02086,0.016863,0.001283,0.013668,0.010339,0.055708,0.006477
UnmanagedForest,0.153499,0.204996,0.316797,0.004545,0.014093,0.077362,0.016206,0.016873,0.021652,0.001971,0.020818,0.007054,0.134111,0.010023
OtherNatural,0.13792,0.148032,0.358236,0.003571,0.010073,0.05435,0.01602,0.024429,0.018998,0.002098,0.0102,0.01501,0.190189,0.010874
Barren,0.088613,0.238521,0.346713,0.002413,0.009894,0.103094,0.014416,0.030694,0.015779,0.002777,0.015292,0.000531,0.12651,0.004751
Urban,0.097983,0.363391,0.284226,0.003275,0.01755,0.092965,0.011229,0.021205,0.03115,0.001014,0.023078,0.002665,0.047323,0.002945
