"","LC2","LC9","LC10","LC11","LC17","LC8","LC12","LC16","LC4","LC13","LC5","LC14","LC6","LC1"
"Cropland",0,0,0,0.1,0,0,0.5,0,0,0,0,0.4,0,0
"Pasture",0,0.7,0,0,0.1,0.2,0,0,0,0,0,0,0,0
"TimberForest",0.7,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0
"UnmanagedForest",0.7,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1
"OtherNatural",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Barren",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Urban",0,0,0,0,0,0,0,0,0,1,0,0,0,0
