PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC5,LC14,LC6,LC1
Cropland,0.1897,0.270934,0.332106,0.005715,0.027883,0.082991,0.018581,0.019981,0.016412,0.00155,0.015965,0.012283,0.005895,4e-06
Pasture,0.159456,0.313674,0.359484,0.004083,0.023656,0.069318,0.012531,0.009386,0.017023,0.00182,0.013952,0.010683,0.004919,1.3e-05
TimberForest,0.162062,0.294549,0.331606,0.005633,0.022588,0.092912,0.017048,0.02209,0.017857,0.001359,0.014474,0.010949,0.006859,1.6e-05
UnmanagedForest,0.177291,0.236724,0.365798,0.005249,0.016275,0.089347,0.018717,0.019488,0.025,0.002276,0.024045,0.008147,0.011577,6.5e-05
OtherNatural,0.170138,0.183726,0.441318,0.004552,0.012505,0.067123,0.019744,0.030097,0.02357,0.002587,0.0126,0.018492,0.013395,0.000154
Barren,0.101446,0.273063,0.396923,0.002763,0.011327,0.118024,0.016503,0.035139,0.018064,0.00318,0.017506,0.000608,0.005439,1.5e-05
Urban,0.102849,0.38144,0.298343,0.003438,0.018421,0.097582,0.011787,0.022258,0.032697,0.001064,0.024224,0.002798,0.003092,6e-06
