PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC5,LC14,LC6,LC1
Cropland,0.189615,0.271731,0.331221,0.005893,0.027835,0.083006,0.018551,0.019941,0.016554,0.001549,0.015964,0.012252,0.005883,4e-06
Pasture,0.15943,0.31378,0.359403,0.004082,0.023671,0.06931,0.012532,0.009376,0.017021,0.001821,0.013955,0.010686,0.00492,1.3e-05
TimberForest,0.162099,0.294394,0.331678,0.005633,0.022593,0.092932,0.017052,0.022095,0.01786,0.001359,0.014477,0.010951,0.006861,1.6e-05
UnmanagedForest,0.177248,0.236837,0.365766,0.005249,0.016271,0.089332,0.018714,0.019484,0.024999,0.002276,0.02404,0.008145,0.011574,6.5e-05
OtherNatural,0.170184,0.183261,0.441806,0.004475,0.012511,0.06711,0.019757,0.030127,0.023514,0.002588,0.012597,0.01851,0.013407,0.000154
Barren,0.101446,0.273063,0.396923,0.002763,0.011327,0.118024,0.016503,0.035139,0.018064,0.00318,0.017506,0.000608,0.005439,1.5e-05
Urban,0.102849,0.38144,0.298343,0.003438,0.018421,0.097582,0.011787,0.022258,0.032697,0.001064,0.024224,0.002798,0.003092,6e-06
