PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC4,LC13,LC5,LC14,LC6
Cropland,0.193235,0.278178,0.337112,0.006159,0.028324,0.084713,0.018897,0.017044,0.001581,0.016285,0.012483,0.005989
Pasture,0.160906,0.31671,0.362716,0.004129,0.024142,0.069914,0.012639,0.017181,0.001836,0.01409,0.010776,0.004962
TimberForest,0.165729,0.301192,0.339109,0.00576,0.023099,0.095014,0.017433,0.018261,0.001389,0.014801,0.011197,0.007014
UnmanagedForest,0.180797,0.241451,0.373134,0.005354,0.016599,0.091119,0.019088,0.025503,0.002321,0.024521,0.008308,0.011806
OtherNatural,0.175608,0.188485,0.45613,0.004547,0.012826,0.069203,0.020398,0.024189,0.002671,0.012988,0.019112,0.013845
Barren,0.105142,0.283012,0.411385,0.002864,0.01174,0.122324,0.017104,0.018722,0.003296,0.018144,0.00063,0.005637
Urban,0.105191,0.390126,0.305137,0.003516,0.018841,0.099805,0.012055,0.033441,0.001089,0.024776,0.002861,0.003162
