PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC4,LC13,LC5,LC14,LC6
Cropland,0.193214,0.277907,0.337357,0.006168,0.028357,0.084709,0.018911,0.017022,0.00158,0.016296,0.012486,0.005994
Pasture,0.161175,0.317824,0.361145,0.004123,0.024326,0.06982,0.012654,0.017131,0.001838,0.01414,0.010847,0.004978
TimberForest,0.165725,0.301207,0.339102,0.00576,0.023098,0.095012,0.017433,0.01826,0.00139,0.014801,0.011196,0.007014
UnmanagedForest,0.180816,0.241414,0.373142,0.005354,0.016596,0.091124,0.01909,0.025503,0.002321,0.024523,0.008309,0.011807
OtherNatural,0.175479,0.188569,0.456309,0.004544,0.012781,0.069242,0.020366,0.024198,0.002669,0.012969,0.019062,0.013813
Barren,0.105142,0.283012,0.411385,0.002864,0.01174,0.122324,0.017104,0.018722,0.003296,0.018144,0.00063,0.005637
Urban,0.105191,0.390126,0.305137,0.003516,0.018841,0.099805,0.012055,0.033441,0.001089,0.024776,0.002861,0.003162
