PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC4,LC13,LC5,LC14,LC6
Cropland,0.193568,0.276459,0.338878,0.005831,0.028452,0.084684,0.018959,0.016747,0.001581,0.01629,0.012533,0.006016
Pasture,0.160969,0.31665,0.362895,0.004121,0.023881,0.069976,0.01265,0.017185,0.001838,0.014084,0.010784,0.004966
TimberForest,0.165725,0.301207,0.339102,0.00576,0.023098,0.095012,0.017433,0.01826,0.00139,0.014801,0.011196,0.007014
UnmanagedForest,0.180827,0.241445,0.373093,0.005354,0.0166,0.091129,0.01909,0.025499,0.002321,0.024524,0.008309,0.011807
OtherNatural,0.175445,0.189457,0.455084,0.004693,0.012895,0.069217,0.020359,0.024305,0.002668,0.012993,0.019069,0.013813
Barren,0.105142,0.283012,0.411385,0.002864,0.01174,0.122324,0.017104,0.018722,0.003296,0.018144,0.00063,0.005637
Urban,0.105191,0.390126,0.305137,0.003516,0.018841,0.099805,0.012055,0.033441,0.001089,0.024776,0.002861,0.003162
