PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC4,LC13,LC5,LC14,LC6
Cropland,0.193254,0.278061,0.337126,0.006166,0.028358,0.084728,0.018913,0.01703,0.00158,0.016301,0.012489,0.005995
Pasture,0.162647,0.320176,0.357118,0.004124,0.024216,0.069983,0.012634,0.017107,0.001808,0.014233,0.010966,0.00499
TimberForest,0.165737,0.301167,0.339123,0.00576,0.0231,0.095015,0.017434,0.018262,0.001389,0.014802,0.011197,0.007015
UnmanagedForest,0.180801,0.24147,0.373112,0.005354,0.016597,0.09112,0.019088,0.025502,0.002321,0.024521,0.008308,0.011805
OtherNatural,0.174898,0.188193,0.457429,0.004543,0.012866,0.069182,0.020341,0.024173,0.002675,0.01294,0.018986,0.013772
Barren,0.105142,0.283012,0.411385,0.002864,0.01174,0.122324,0.017104,0.018722,0.003296,0.018144,0.00063,0.005637
Urban,0.105191,0.390126,0.305137,0.003516,0.018841,0.099805,0.012055,0.033441,0.001089,0.024776,0.002861,0.003162
