PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC4,LC13,LC5,LC14,LC6
Cropland,0.193474,0.277261,0.337962,0.006013,0.028402,0.084695,0.018929,0.016891,0.00158,0.016289,0.012502,0.006003
Pasture,0.160941,0.316754,0.36281,0.00412,0.023896,0.069967,0.01265,0.017182,0.001839,0.014087,0.010787,0.004967
TimberForest,0.165765,0.301051,0.339178,0.005761,0.023104,0.095033,0.017437,0.018263,0.001389,0.014804,0.011199,0.007016
UnmanagedForest,0.180782,0.241559,0.373059,0.005354,0.016595,0.091113,0.019087,0.025498,0.002321,0.02452,0.008308,0.011805
OtherNatural,0.175498,0.188984,0.455602,0.004614,0.012901,0.069205,0.020374,0.024248,0.002669,0.012991,0.019088,0.013825
Barren,0.105142,0.283012,0.411385,0.002864,0.01174,0.122324,0.017104,0.018722,0.003296,0.018144,0.00063,0.005637
Urban,0.105191,0.390126,0.305137,0.003516,0.018841,0.099805,0.012055,0.033441,0.001089,0.024776,0.002861,0.003162
