PLUM_Class,LC9,LC10,LC11,LC8,LC12,LC16,LC13,LC14,LC7,LC6
Cropland,0.32699,0.398578,0.007091,0.099885,0.022324,0.023996,0.001864,0.014744,0.097448,0.00708
Pasture,0.356888,0.408779,0.004642,0.078832,0.014253,0.010664,0.002072,0.012154,0.10612,0.005596
TimberForest,0.349653,0.393935,0.006691,0.110375,0.020252,0.026243,0.001614,0.013007,0.070081,0.008148
UnmanagedForest,0.259623,0.400956,0.005754,0.097926,0.020514,0.021359,0.002495,0.008929,0.169756,0.012688
OtherNatural,0.180461,0.435055,0.004406,0.066084,0.019455,0.029666,0.002548,0.018227,0.230894,0.013202
Barren,0.274029,0.398328,0.002773,0.118442,0.016562,0.035264,0.003191,0.00061,0.145344,0.005459
Urban,0.437694,0.342342,0.003945,0.111974,0.013525,0.025541,0.001221,0.00321,0.057,0.003548
