PLUM_Class,LC9,LC10,LC11,LC8,LC12,LC16,LC13,LC14,LC7,LC6
Cropland,0.32594,0.399532,0.006875,0.099841,0.022353,0.024038,0.001864,0.014777,0.097688,0.007092
Pasture,0.356782,0.408887,0.004644,0.078844,0.014253,0.010676,0.002071,0.012151,0.106097,0.005595
TimberForest,0.349822,0.393834,0.00669,0.110347,0.020247,0.026235,0.001614,0.013004,0.070062,0.008146
UnmanagedForest,0.259508,0.401005,0.005755,0.097947,0.020519,0.021364,0.002495,0.008931,0.169786,0.012691
OtherNatural,0.180958,0.434668,0.004483,0.066111,0.019446,0.029644,0.002548,0.018214,0.230735,0.013193
Barren,0.274029,0.398328,0.002773,0.118442,0.016562,0.035264,0.003191,0.00061,0.145344,0.005459
Urban,0.437694,0.342342,0.003945,0.111974,0.013525,0.025541,0.001221,0.00321,0.057,0.003548
