PLUM_Class,LC9,LC10,LC11,LC8,LC12,LC16,LC13,LC14,LC7,LC6
Cropland,0.327762,0.397877,0.007274,0.099906,0.022304,0.023963,0.001863,0.014725,0.097257,0.007069
Pasture,0.358452,0.407312,0.00465,0.078746,0.014271,0.01066,0.002072,0.012233,0.105989,0.005614
TimberForest,0.349822,0.393834,0.00669,0.110347,0.020247,0.026235,0.001614,0.013004,0.070062,0.008146
UnmanagedForest,0.259469,0.401049,0.005754,0.097939,0.020518,0.021362,0.002495,0.00893,0.169792,0.01269
OtherNatural,0.18004,0.435672,0.004339,0.066111,0.019445,0.029645,0.002548,0.0182,0.230813,0.013188
Barren,0.274029,0.398328,0.002773,0.118442,0.016562,0.035264,0.003191,0.00061,0.145344,0.005459
Urban,0.437694,0.342342,0.003945,0.111974,0.013525,0.025541,0.001221,0.00321,0.057,0.003548
