PLUM_Class,LC9,LC10,LC11,LC8,LC12,LC16,LC13,LC14,LC7,LC6
Cropland,0.328116,0.397629,0.007265,0.099921,0.022289,0.023947,0.001865,0.014724,0.09718,0.007065
Pasture,0.356962,0.408815,0.004654,0.078799,0.014245,0.01068,0.002069,0.012145,0.106038,0.005592
TimberForest,0.349806,0.393843,0.00669,0.11035,0.020247,0.026236,0.001614,0.013004,0.070064,0.008146
UnmanagedForest,0.259509,0.40104,0.005754,0.097934,0.020516,0.02136,0.002495,0.008929,0.169774,0.012688
OtherNatural,0.179911,0.435382,0.00434,0.066055,0.01947,0.029689,0.00255,0.018242,0.231146,0.013215
Barren,0.274029,0.398328,0.002773,0.118442,0.016562,0.035264,0.003191,0.00061,0.145344,0.005459
Urban,0.437694,0.342342,0.003945,0.111974,0.013525,0.025541,0.001221,0.00321,0.057,0.003548
