PLUM_Class,LC9,LC10,LC11,LC8,LC12,LC16,LC13,LC14,LC7,LC6
Cropland,0.32807,0.397756,0.007275,0.099966,0.022314,0.023973,0.001864,0.014735,0.096974,0.007073
Pasture,0.363569,0.405519,0.004683,0.079468,0.014347,0.010063,0.002053,0.012452,0.102181,0.005666
TimberForest,0.349779,0.393861,0.006689,0.110351,0.020248,0.026237,0.001614,0.013005,0.070068,0.008147
UnmanagedForest,0.25953,0.401019,0.005754,0.097936,0.020515,0.02136,0.002495,0.008929,0.169773,0.012688
OtherNatural,0.179414,0.43609,0.004331,0.065955,0.019393,0.029712,0.002551,0.0181,0.231325,0.01313
Barren,0.274029,0.398328,0.002773,0.118442,0.016562,0.035264,0.003191,0.00061,0.145344,0.005459
Urban,0.437694,0.342342,0.003945,0.111974,0.013525,0.025541,0.001221,0.00321,0.057,0.003548
