PLUM_Class,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC7,LC6
Cropland,0.314815,0.383738,0.006827,0.032249,0.096166,0.021493,0.023103,0.019179,0.001794,0.093819,0.006816
Pasture,0.34511,0.395288,0.004489,0.026035,0.076231,0.013783,0.010312,0.01872,0.002003,0.102617,0.005411
TimberForest,0.337817,0.380599,0.006464,0.025925,0.106639,0.019567,0.025354,0.020494,0.001559,0.067709,0.007873
UnmanagedForest,0.250526,0.386907,0.005552,0.017211,0.094495,0.019795,0.020611,0.026444,0.002407,0.163808,0.012243
OtherNatural,0.177401,0.427679,0.004332,0.012111,0.064964,0.019125,0.029163,0.022762,0.002505,0.226979,0.012978
Barren,0.266336,0.387145,0.002695,0.011048,0.115117,0.016097,0.034274,0.017619,0.003101,0.141263,0.005305
Urban,0.414701,0.324358,0.003738,0.020027,0.106091,0.012814,0.024199,0.035548,0.001157,0.054005,0.003361
