PLUM_Class,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC7,LC6
Cropland,0.315522,0.383018,0.007003,0.032195,0.096175,0.021471,0.023068,0.019326,0.001794,0.093624,0.006805
Pasture,0.34649,0.393719,0.004495,0.02652,0.076118,0.013795,0.010304,0.018676,0.002003,0.102452,0.005427
TimberForest,0.337983,0.380504,0.006463,0.025918,0.106613,0.019561,0.025347,0.02049,0.001559,0.06769,0.00787
UnmanagedForest,0.250376,0.386994,0.005553,0.017212,0.094507,0.019799,0.020614,0.02645,0.002407,0.163842,0.012245
OtherNatural,0.177012,0.428345,0.004266,0.011998,0.064999,0.019118,0.029146,0.022715,0.002505,0.226931,0.012966
Barren,0.266336,0.387145,0.002695,0.011048,0.115117,0.016097,0.034274,0.017619,0.003101,0.141263,0.005305
Urban,0.414701,0.324358,0.003738,0.020027,0.106091,0.012814,0.024199,0.035548,0.001157,0.054005,0.003361
