PLUM_Class,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC7,LC6
Cropland,0.313853,0.384715,0.00662,0.0323,0.096138,0.021524,0.023147,0.019012,0.001795,0.094066,0.006829
Pasture,0.34501,0.395397,0.004491,0.026019,0.076243,0.013783,0.010324,0.018724,0.002002,0.102596,0.005411
TimberForest,0.337983,0.380504,0.006463,0.025918,0.106613,0.019561,0.025347,0.02049,0.001559,0.06769,0.00787
UnmanagedForest,0.250414,0.386952,0.005553,0.017216,0.094514,0.019799,0.020615,0.026446,0.002408,0.163836,0.012246
OtherNatural,0.177877,0.427269,0.004407,0.012107,0.064986,0.019115,0.029139,0.022819,0.002505,0.226807,0.012969
Barren,0.266336,0.387145,0.002695,0.011048,0.115117,0.016097,0.034274,0.017619,0.003101,0.141263,0.005305
Urban,0.414701,0.324358,0.003738,0.020027,0.106091,0.012814,0.024199,0.035548,0.001157,0.054005,0.003361
