PLUM_Class,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC7,LC6
Cropland,0.315864,0.382782,0.006994,0.032161,0.09619,0.021457,0.023052,0.019353,0.001795,0.093551,0.006801
Pasture,0.345081,0.395208,0.004499,0.026305,0.076177,0.013771,0.010324,0.01872,0.002001,0.102508,0.005406
TimberForest,0.337967,0.380513,0.006463,0.025919,0.106615,0.019562,0.025348,0.02049,0.001559,0.067693,0.007871
UnmanagedForest,0.250414,0.386985,0.005552,0.017215,0.094501,0.019797,0.020611,0.02645,0.002407,0.163824,0.012244
OtherNatural,0.176888,0.428067,0.004267,0.012037,0.064945,0.019143,0.029191,0.022701,0.002507,0.227262,0.012993
Barren,0.266336,0.387145,0.002695,0.011048,0.115117,0.016097,0.034274,0.017619,0.003101,0.141263,0.005305
Urban,0.414701,0.324358,0.003738,0.020027,0.106091,0.012814,0.024199,0.035548,0.001157,0.054005,0.003361
