"","2","9","10","11","17","8","12","16","4","13","5","14","7","6","1","15","3"
"Cropland",0.175218,0.252005,0.305883,0.005594,0.025717,0.076819,0.017151,0.018426,0.015433,0.001433,0.014779,0.011323,0.074778,0.005436,4e-06,1e-06,0
"Pasture",0.146165,0.28831,0.327009,0.003736,0.022078,0.063282,0.011466,0.008547,0.015524,0.001664,0.012827,0.009842,0.085027,0.004512,1.1e-05,1e-06,0
"TimberForest",0.153034,0.278141,0.313134,0.005319,0.021329,0.087736,0.016098,0.020859,0.016862,0.001283,0.013667,0.010339,0.055705,0.006477,1.5e-05,1e-06,0
"UnmanagedForest",0.153504,0.204943,0.316786,0.004545,0.014089,0.07736,0.016207,0.016874,0.021651,0.001971,0.020819,0.007054,0.134118,0.010024,5.6e-05,0,0
"OtherNatural",0.137822,0.148111,0.358543,0.00357,0.010035,0.054396,0.015997,0.02439,0.019009,0.002097,0.010184,0.014968,0.189906,0.010848,0.000125,0,0
"Barren",0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05,0,0
"Urban",0.097982,0.363388,0.284223,0.003275,0.017549,0.092964,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06,4e-06,0
