PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC5,LC14,LC6,LC1
Cropland,0.189405,0.272523,0.330411,0.006043,0.027793,0.08304,0.018536,0.019914,0.016691,0.001549,0.015976,0.01224,0.005875,4e-06
Pasture,0.161216,0.317359,0.353977,0.004088,0.024003,0.069368,0.012523,0.008784,0.016956,0.001792,0.014107,0.010869,0.004946,1.2e-05
TimberForest,0.162073,0.294509,0.331625,0.005632,0.022589,0.092914,0.017049,0.022092,0.017858,0.001359,0.014475,0.01095,0.00686,1.6e-05
UnmanagedForest,0.177267,0.236749,0.365818,0.005249,0.016272,0.089339,0.018715,0.019485,0.025004,0.002276,0.024041,0.008146,0.011575,6.5e-05
OtherNatural,0.169586,0.182477,0.443536,0.004405,0.012476,0.067081,0.019724,0.030219,0.023439,0.002594,0.012547,0.018409,0.013354,0.000153
Barren,0.101446,0.273063,0.396923,0.002763,0.011327,0.118024,0.016503,0.035139,0.018064,0.00318,0.017506,0.000608,0.005439,1.5e-05
Urban,0.102849,0.38144,0.298343,0.003438,0.018421,0.097582,0.011787,0.022258,0.032697,0.001064,0.024224,0.002798,0.003092,6e-06
