PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC13,LC14,LC7,LC1
Cropland,0.181682,0.26132,0.317222,0.0058,0.026664,0.079653,0.017782,0.019105,0.001486,0.01174,0.077541,4e-06
Pasture,0.151027,0.297813,0.338407,0.003863,0.022795,0.065424,0.011857,0.008857,0.001722,0.010164,0.088059,1.2e-05
TimberForest,0.158915,0.28883,0.325167,0.005523,0.022149,0.091108,0.016717,0.021661,0.001332,0.010736,0.057846,1.6e-05
UnmanagedForest,0.162009,0.216304,0.334331,0.004797,0.01487,0.081646,0.017105,0.017809,0.00208,0.007445,0.141546,5.9e-05
OtherNatural,0.143603,0.154315,0.37342,0.003719,0.010459,0.056664,0.016666,0.025409,0.002184,0.015599,0.197832,0.00013
Barren,0.091904,0.247379,0.35959,0.002503,0.010262,0.106923,0.014951,0.031834,0.002881,0.000551,0.131209,1.4e-05
Urban,0.103924,0.385425,0.30146,0.003474,0.018614,0.098602,0.01191,0.022491,0.001076,0.002827,0.050193,6e-06
