PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC13,LC14,LC7,LC1
Cropland,0.181718,0.261598,0.31702,0.005792,0.026636,0.079665,0.01777,0.019092,0.001487,0.011739,0.077479,4e-06
Pasture,0.150755,0.296729,0.339833,0.003868,0.022619,0.065503,0.011841,0.008878,0.00172,0.010096,0.088145,1.2e-05
TimberForest,0.158919,0.288815,0.325174,0.005523,0.02215,0.091109,0.016717,0.021661,0.001332,0.010737,0.057848,1.6e-05
UnmanagedForest,0.161994,0.21634,0.334328,0.004797,0.014873,0.081643,0.017103,0.017807,0.00208,0.007444,0.141533,5.9e-05
OtherNatural,0.143658,0.154192,0.373142,0.003719,0.010492,0.056612,0.016686,0.025445,0.002185,0.015635,0.198103,0.00013
Barren,0.091904,0.247379,0.35959,0.002503,0.010262,0.106923,0.014951,0.031834,0.002881,0.000551,0.131209,1.4e-05
Urban,0.103924,0.385425,0.30146,0.003474,0.018614,0.098602,0.01191,0.022491,0.001076,0.002827,0.050193,6e-06
