PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC13,LC14,LC7,LC1
Cropland,0.181768,0.261535,0.317089,0.0058,0.026673,0.079692,0.017788,0.019111,0.001486,0.011747,0.077307,4e-06
Pasture,0.153075,0.301333,0.336102,0.003881,0.02279,0.065865,0.011891,0.00834,0.001701,0.01032,0.08469,1.1e-05
TimberForest,0.158926,0.28879,0.325186,0.005523,0.022151,0.09111,0.016718,0.021663,0.001332,0.010737,0.05785,1.6e-05
UnmanagedForest,0.161998,0.216357,0.334309,0.004797,0.014871,0.081644,0.017103,0.017807,0.00208,0.007444,0.141531,5.9e-05
OtherNatural,0.142998,0.153868,0.373997,0.003715,0.01052,0.056564,0.016631,0.025481,0.002187,0.015523,0.198388,0.000129
Barren,0.091904,0.247379,0.35959,0.002503,0.010262,0.106923,0.014951,0.031834,0.002881,0.000551,0.131209,1.4e-05
Urban,0.103924,0.385425,0.30146,0.003474,0.018614,0.098602,0.01191,0.022491,0.001076,0.002827,0.050193,6e-06
