PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC5,LC14,LC7,LC6,LC1
Cropland,0.175411,0.251375,0.306408,0.005451,0.02575,0.076787,0.017162,0.018447,0.015314,0.001433,0.014768,0.011335,0.074913,0.005443,4e-06
Pasture,0.145824,0.287003,0.328732,0.003733,0.021651,0.063395,0.011462,0.008575,0.015568,0.001666,0.012764,0.009774,0.085339,0.0045,1.2e-05
TimberForest,0.153068,0.277991,0.313198,0.005319,0.021334,0.087754,0.016102,0.020864,0.016864,0.001283,0.01367,0.010341,0.055718,0.006478,1.5e-05
UnmanagedForest,0.15348,0.205079,0.31672,0.004545,0.014089,0.077353,0.016204,0.016872,0.021647,0.001971,0.020817,0.007053,0.134092,0.010022,5.6e-05
OtherNatural,0.137859,0.148453,0.357889,0.003625,0.010134,0.054363,0.016005,0.024404,0.019047,0.002096,0.010204,0.014994,0.18994,0.01086,0.000125
Barren,0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05
Urban,0.097982,0.363389,0.284225,0.003275,0.017549,0.092965,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06
