PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC5,LC14,LC7,LC6,LC1
Cropland,0.175205,0.252005,0.305913,0.005593,0.025714,0.076814,0.017149,0.018424,0.015435,0.001433,0.014777,0.011322,0.074777,0.005435,4e-06
Pasture,0.146066,0.28803,0.32729,0.003737,0.022046,0.063275,0.011468,0.008566,0.015525,0.001665,0.012815,0.00983,0.085166,0.004511,1.2e-05
TimberForest,0.153034,0.278141,0.313134,0.005319,0.021329,0.087736,0.016098,0.020859,0.016862,0.001283,0.013667,0.010339,0.055706,0.006477,1.5e-05
UnmanagedForest,0.153505,0.204949,0.316781,0.004545,0.01409,0.07736,0.016207,0.016874,0.021651,0.001971,0.020819,0.007054,0.134116,0.010024,5.6e-05
OtherNatural,0.137852,0.148135,0.358465,0.00357,0.01004,0.054395,0.015999,0.024391,0.019009,0.002096,0.010188,0.014975,0.18991,0.010851,0.000125
Barren,0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05
Urban,0.097982,0.363389,0.284225,0.003275,0.017549,0.092965,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06
