PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC5,LC14,LC7,LC6,LC1
Cropland,0.175285,0.252207,0.305779,0.005593,0.025721,0.07685,0.017154,0.01843,0.015446,0.001433,0.014785,0.011328,0.074549,0.005437,4e-06
Pasture,0.148014,0.291371,0.32499,0.003753,0.022037,0.063687,0.011498,0.008064,0.015568,0.001645,0.012952,0.009979,0.08189,0.004541,1.1e-05
TimberForest,0.153044,0.278102,0.313151,0.005319,0.021331,0.087738,0.016099,0.020861,0.016863,0.001283,0.013668,0.01034,0.055709,0.006477,1.5e-05
UnmanagedForest,0.153495,0.205001,0.316761,0.004545,0.01409,0.077358,0.016205,0.016872,0.021651,0.001971,0.020817,0.007053,0.134102,0.010022,5.6e-05
OtherNatural,0.137286,0.147722,0.359058,0.003566,0.010099,0.054304,0.015967,0.024463,0.018975,0.0021,0.010157,0.014903,0.190464,0.010811,0.000124
Barren,0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05
Urban,0.097982,0.363389,0.284225,0.003275,0.017549,0.092965,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06
