PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC4,LC13,LC5,LC1
Cropland,0.19687,0.283412,0.343455,0.006275,0.028857,0.086307,0.019252,0.017365,0.001611,0.016592,4e-06
Pasture,0.163477,0.321769,0.36851,0.004195,0.024528,0.071031,0.012841,0.017455,0.001865,0.014316,1.3e-05
TimberForest,0.168801,0.306774,0.345394,0.005867,0.023527,0.096775,0.017757,0.018599,0.001415,0.015076,1.7e-05
UnmanagedForest,0.184495,0.246391,0.380768,0.005463,0.016938,0.092983,0.019479,0.026025,0.002369,0.025022,6.7e-05
OtherNatural,0.181563,0.194876,0.471597,0.004701,0.013261,0.071549,0.021089,0.025009,0.002762,0.013428,0.000164
Barren,0.105804,0.284792,0.413973,0.002882,0.011814,0.123094,0.017212,0.01884,0.003316,0.018258,1.6e-05
Urban,0.105828,0.392488,0.306984,0.003538,0.018955,0.100409,0.012128,0.033644,0.001095,0.024926,6e-06
