PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC4,LC13,LC5,LC1
Cropland,0.197226,0.281683,0.345282,0.005941,0.028989,0.086284,0.019318,0.017064,0.001611,0.016598,4e-06
Pasture,0.163543,0.321713,0.368698,0.004187,0.024263,0.071095,0.012852,0.01746,0.001867,0.01431,1.3e-05
TimberForest,0.168796,0.306789,0.345386,0.005867,0.023526,0.096773,0.017756,0.018599,0.001415,0.015075,1.7e-05
UnmanagedForest,0.184527,0.246386,0.380727,0.005464,0.016939,0.092994,0.019481,0.026021,0.002369,0.025026,6.7e-05
OtherNatural,0.181381,0.195867,0.47048,0.004852,0.013332,0.071558,0.021048,0.025127,0.002758,0.013432,0.000164
Barren,0.105804,0.284792,0.413973,0.002882,0.011814,0.123094,0.017212,0.01884,0.003316,0.018258,1.6e-05
Urban,0.105828,0.392488,0.306984,0.003538,0.018955,0.100409,0.012128,0.033644,0.001095,0.024926,6e-06
