PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC4,LC13,LC5,LC1
Cropland,0.196893,0.283297,0.343473,0.006282,0.028892,0.086323,0.019269,0.01735,0.00161,0.016608,4e-06
Pasture,0.165282,0.325363,0.362904,0.004191,0.024608,0.071117,0.012839,0.017384,0.001837,0.014463,1.2e-05
TimberForest,0.168809,0.306749,0.345407,0.005867,0.023528,0.096775,0.017757,0.0186,0.001415,0.015076,1.7e-05
UnmanagedForest,0.1845,0.24641,0.380745,0.005463,0.016936,0.092984,0.019478,0.026024,0.002369,0.025022,6.7e-05
OtherNatural,0.180792,0.194535,0.472844,0.004696,0.0133,0.071513,0.021027,0.024988,0.002766,0.013376,0.000164
Barren,0.105804,0.284792,0.413973,0.002882,0.011814,0.123094,0.017212,0.01884,0.003316,0.018258,1.6e-05
Urban,0.105828,0.392488,0.306984,0.003538,0.018955,0.100409,0.012128,0.033644,0.001095,0.024926,6e-06
