PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC4,LC13,LC5,LC1
Cropland,0.196851,0.283138,0.343707,0.006284,0.028891,0.086304,0.019267,0.017342,0.00161,0.016603,4e-06
Pasture,0.163764,0.32293,0.366947,0.004189,0.024717,0.070942,0.012857,0.017406,0.001867,0.014367,1.3e-05
TimberForest,0.168796,0.306789,0.345386,0.005867,0.023526,0.096773,0.017756,0.018599,0.001415,0.015075,1.7e-05
UnmanagedForest,0.184516,0.246353,0.380776,0.005463,0.016936,0.092988,0.019481,0.026025,0.002369,0.025025,6.7e-05
OtherNatural,0.181414,0.194947,0.471743,0.004698,0.013213,0.071584,0.021055,0.025016,0.002759,0.013407,0.000164
Barren,0.105804,0.284792,0.413973,0.002882,0.011814,0.123094,0.017212,0.01884,0.003316,0.018258,1.6e-05
Urban,0.105828,0.392488,0.306984,0.003538,0.018955,0.100409,0.012128,0.033644,0.001095,0.024926,6e-06
