PLUM_Class,LC11,LC17
Cropland,0.174713,0.825287
Pasture,0.147069,0.852931
TimberForest,0.199575,0.800425
UnmanagedForest,0.243915,0.756085
OtherNatural,0.263442,0.736558
Barren,0.19609,0.80391
Urban,0.157284,0.842716
