PLUM_Class,LC11,LC17
Cropland,0.178617,0.821383
Pasture,0.146042,0.853958
TimberForest,0.199588,0.800412
UnmanagedForest,0.243874,0.756126
OtherNatural,0.261719,0.738281
Barren,0.19609,0.80391
Urban,0.157284,0.842716
