PLUM_Class,LC11,LC17
Cropland,0.178601,0.821399
Pasture,0.145519,0.854481
TimberForest,0.199578,0.800422
UnmanagedForest,0.243904,0.756096
OtherNatural,0.260963,0.739037
Barren,0.19609,0.80391
Urban,0.157284,0.842716
