Sim,s2,s4,s6,s8,s10,global
s2,1,0.99999999892489,0.999999999666589,0.999999998130196,0.999999998967548,0.999999999786588
s4,0.99999999892489,1,0.999999998703975,0.999999997862812,0.999999997090431,0.999999999165168
s6,0.999999999666589,0.999999998703975,1,0.99999999880087,0.999999999013817,0.999999999885794
s8,0.999999998130196,0.999999997862812,0.99999999880087,1,0.999999996620271,0.999999998931576
s10,0.999999998967548,0.999999997090431,0.999999999013817,0.999999996620271,1,0.999999998987154
global,0.999999999786588,0.999999999165168,0.999999999885794,0.999999998931576,0.999999998987154,1
