"","2","9","10","11","17","8","12","16","4","13","5","14","7","6","1","15","3"
"Cropland",0.175283,0.252204,0.30578,0.005593,0.025721,0.076849,0.017154,0.01843,0.015446,0.001433,0.014785,0.011328,0.074553,0.005438,4e-06,1e-06,0
"Pasture",0.147996,0.291402,0.324978,0.003752,0.022037,0.063681,0.011497,0.008066,0.015568,0.001645,0.012953,0.009977,0.081896,0.00454,1.1e-05,1e-06,0
"TimberForest",0.153047,0.278091,0.31316,0.005319,0.021331,0.087732,0.0161,0.020861,0.016863,0.001283,0.013668,0.01034,0.055711,0.006478,1.5e-05,1e-06,0
"UnmanagedForest",0.153494,0.205008,0.316753,0.004545,0.01409,0.077364,0.016205,0.016872,0.02165,0.001971,0.020818,0.007053,0.1341,0.010022,5.6e-05,0,0
"OtherNatural",0.137291,0.147705,0.359065,0.003566,0.010099,0.054304,0.015968,0.024464,0.018975,0.0021,0.010157,0.014904,0.190467,0.010811,0.000124,0,0
"Barren",0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05,0,0
"Urban",0.097982,0.363388,0.284223,0.003275,0.017549,0.092964,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06,4e-06,0
