"","2","9","10","11","17","8","12","16","4","13","5","14","7","6","1","15","3"
"Cropland",0.175287,0.252219,0.305768,0.005592,0.02572,0.07685,0.017153,0.018429,0.015448,0.001433,0.014785,0.011327,0.074546,0.005437,4e-06,1e-06,0
"Pasture",0.148022,0.29138,0.324993,0.003753,0.02204,0.0637,0.011497,0.00806,0.015569,0.001645,0.012951,0.009979,0.081859,0.004541,1.1e-05,1e-06,0
"TimberForest",0.153043,0.278105,0.313148,0.005319,0.021331,0.087739,0.016099,0.020861,0.016863,0.001283,0.013668,0.01034,0.055709,0.006477,1.5e-05,1e-06,0
"UnmanagedForest",0.153496,0.204995,0.316763,0.004545,0.01409,0.077358,0.016205,0.016872,0.021651,0.001971,0.020817,0.007053,0.134105,0.010023,5.6e-05,0,0
"OtherNatural",0.137282,0.147717,0.359061,0.003566,0.010099,0.0543,0.015967,0.024465,0.018974,0.0021,0.010158,0.014903,0.190473,0.010811,0.000124,0,0
"Barren",0.088612,0.238518,0.346709,0.002413,0.009894,0.103093,0.014415,0.030694,0.015779,0.002777,0.015291,0.000531,0.126509,0.004751,1.3e-05,0,0
"Urban",0.097982,0.363388,0.284223,0.003275,0.017549,0.092964,0.011229,0.021205,0.031149,0.001014,0.023078,0.002665,0.047323,0.002945,6e-06,4e-06,0
