PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC14,LC6,LC1
Cropland,0.192691,0.276139,0.336594,0.005988,0.028287,0.084352,0.018852,0.020265,0.016823,0.001574,0.012451,0.005979,4e-06
Pasture,0.161686,0.318221,0.36449,0.004139,0.024006,0.070291,0.012709,0.009508,0.017262,0.001847,0.010837,0.00499,1.3e-05
TimberForest,0.164481,0.298719,0.33655,0.005716,0.022925,0.094297,0.017302,0.02242,0.018122,0.001379,0.011112,0.006961,1.6e-05
UnmanagedForest,0.181614,0.242671,0.374776,0.005378,0.016671,0.091532,0.019175,0.019964,0.025615,0.002332,0.008346,0.011859,6.6e-05
OtherNatural,0.172355,0.185599,0.447443,0.004532,0.01267,0.067966,0.020009,0.030511,0.023814,0.002621,0.018746,0.013578,0.000156
Barren,0.103253,0.277928,0.403995,0.002812,0.011529,0.120127,0.016797,0.035765,0.018386,0.003236,0.000619,0.005536,1.6e-05
Urban,0.105403,0.390909,0.30575,0.003523,0.018879,0.100005,0.012079,0.022811,0.033508,0.001091,0.002867,0.003168,6e-06
