PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC14,LC6,LC1
Cropland,0.192461,0.277064,0.335762,0.006135,0.02821,0.084374,0.018821,0.020221,0.016976,0.001575,0.012433,0.005965,4e-06
Pasture,0.16165,0.318174,0.364393,0.004148,0.024254,0.070237,0.012697,0.009519,0.01726,0.001845,0.010825,0.004985,1.3e-05
TimberForest,0.164446,0.29886,0.336483,0.005715,0.02292,0.094278,0.017298,0.022415,0.018119,0.001379,0.01111,0.00696,1.6e-05
UnmanagedForest,0.181629,0.242562,0.374851,0.005378,0.016675,0.091538,0.019176,0.019965,0.02562,0.002332,0.008346,0.01186,6.6e-05
OtherNatural,0.172457,0.185102,0.447943,0.004465,0.012596,0.067961,0.020031,0.030546,0.023755,0.002623,0.018769,0.013597,0.000156
Barren,0.103253,0.277928,0.403995,0.002812,0.011529,0.120127,0.016797,0.035765,0.018386,0.003236,0.000619,0.005536,1.6e-05
Urban,0.105403,0.390909,0.30575,0.003523,0.018879,0.100005,0.012079,0.022811,0.033508,0.001091,0.002867,0.003168,6e-06
