PLUM_Class,LC2,LC9,LC10,LC11,LC17,LC8,LC12,LC16,LC4,LC13,LC14,LC6,LC1
Cropland,0.19248,0.276947,0.335775,0.006141,0.028244,0.084388,0.018837,0.020237,0.016962,0.001574,0.012439,0.005971,4e-06
Pasture,0.163523,0.321901,0.359042,0.004146,0.024346,0.07036,0.012702,0.008909,0.017199,0.001817,0.011025,0.005017,1.2e-05
TimberForest,0.164453,0.298835,0.336496,0.005715,0.022921,0.094279,0.017299,0.022416,0.01812,0.001379,0.01111,0.00696,1.6e-05
UnmanagedForest,0.181633,0.242581,0.37483,0.005379,0.016673,0.09154,0.019176,0.019965,0.025619,0.002332,0.008346,0.01186,6.6e-05
OtherNatural,0.171741,0.184796,0.449172,0.004461,0.012634,0.067933,0.019974,0.030603,0.023737,0.002627,0.018643,0.013524,0.000155
Barren,0.103253,0.277928,0.403995,0.002812,0.011529,0.120127,0.016797,0.035765,0.018386,0.003236,0.000619,0.005536,1.6e-05
Urban,0.105403,0.390909,0.30575,0.003523,0.018879,0.100005,0.012079,0.022811,0.033508,0.001091,0.002867,0.003168,6e-06
